number,date,VCRIX,CRIX
923,2018/11/10,294.8356997,16203.74618
922,2018/11/9,282.4016306,16405.77035
921,2018/11/8,294.404519,16788.87427
920,2018/11/7,278.5497536,16751.1112
919,2018/11/6,284.3824641,16197.19771
918,2018/11/5,294.9735068,15935.27961
917,2018/11/4,305.0588062,15761.36497
916,2018/11/3,314.1581657,15641.64182
915,2018/11/2,327.5319168,15641.64182
914,2018/11/1,340.890742,15574.38297
913,2018/10/31,340.890742,15461.70751
912,2018/10/30,311.5806822,15336.0317
911,2018/10/29,324.6374986,15910.01881
910,2018/10/28,337.0687413,15820.11374
909,2018/10/27,351.3484821,15883.98635
908,2018/10/26,365.3913696,15860.77897
907,2018/10/25,380.3610953,15896.50079
906,2018/10/24,395.5885678,15882.57172
905,2018/10/23,411.4226812,15994.74901
904,2018/10/22,428.4190049,16053.00353
903,2018/10/21,445.8456387,16076.34793
902,2018/10/20,463.9703324,15931.05862
901,2018/10/19,471.4093105,15988.94526
900,2018/10/18,491.3720609,16341.44968
899,2018/10/17,512.2896544,16328.89946
898,2018/10/16,473.7235004,16276.02719
897,2018/10/15,490.7876214,15342.49212
896,2018/10/14,511.3526126,15470.59004
895,2018/10/13,525.9765801,15355.43717
894,2018/10/12,341.8718474,15050.19052
893,2018/10/11,350.9302898,16525.9355
892,2018/10/10,363.1015039,16705.30468
891,2018/10/9,376.0201235,16827.4432
890,2018/10/8,391.9647816,16598.97089
889,2018/10/7,402.1660545,16569.25475
888,2018/10/6,418.8890606,16790.72163
887,2018/10/5,435.907525,16666.46013
886,2018/10/4,452.8145738,16517.41659
885,2018/10/3,457.9431572,16602.03577
884,2018/10/2,476.3863802,17021.94979
883,2018/10/1,496.6602379,17078.00422
882,2018/9/30,496.6602379,17014.01727
881,2018/9/29,511.8181172,16870.58894
880,2018/9/28,499.4348262,17113.91757
879,2018/9/27,520.6966277,16336.60608
878,2018/9/26,533.9326605,16294.42558
877,2018/9/25,522.782833,16555.7978
876,2018/9/24,545.0205427,17339.02752
875,2018/9/23,566.291527,17260.44804
874,2018/9/22,522.2807365,17374.73891
873,2018/9/21,497.7361348,16144.94289
872,2018/9/20,518.9183498,15220.42365
871,2018/9/19,520.1032341,15159.08314
870,2018/9/18,480.309616,14609.68244
869,2018/9/17,499.7558039,15424.56382
868,2018/9/16,519.0153783,15492.95958
867,2018/9/15,540.4876467,15305.56352
866,2018/9/14,527.0096786,15344.5202
865,2018/9/13,549.4453798,14640.07858
864,2018/9/12,565.59263,14590.48596
863,2018/9/11,589.6316824,14811.99627
862,2018/9/10,613.9277612,14813.7792
861,2018/9/9,604.1483864,14633.34072
860,2018/9/8,616.7291015,15310.5933
859,2018/9/7,634.4738452,15703.78812
858,2018/9/6,400.9938392,16071.19151
857,2018/9/5,417.6492886,18108.51437
856,2018/9/4,431.8547276,17966.99808
855,2018/9/3,450.0245244,18148.82
854,2018/9/2,446.1361085,18033.71848
853,2018/9/1,465.1280602,17365.23616
852,2018/8/31,465.1280602,17305.06928
851,2018/8/30,480.8865778,17460.66265
850,2018/8/29,488.227581,17667.36745
849,2018/8/28,485.0586394,17061.22576
848,2018/8/27,504.2473253,16396.71376
847,2018/8/26,525.7141364,16548.53651
846,2018/8/25,543.8200651,16487.33695
845,2018/8/24,557.7085772,16149.06637
844,2018/8/23,566.234813,15694.29401
843,2018/8/22,576.2727406,16155.20331
842,2018/8/21,545.6742183,15590.52386
841,2018/8/20,564.5617017,16490.42022
840,2018/8/19,548.7306669,16163.36842
839,2018/8/18,480.1796785,16967.81322
838,2018/8/17,499.6621016,15697.19747
837,2018/8/16,519.8297374,15524.88732
